fid,Src,Dest,Heading,Parent_Layer,Steps,Sheltered,Distance,Time_Cost,geometry_type,coordinates
6,AS2-0201-Entrance,AS2-0201,E,AS2_L2_ROOMS,0,T,4,3,LineString,"[[11551774.67221086, 144180.2459433634], [11551778.593335858, 144178.8886308634]]"
6,AS2-0201,AS2-0201-Entrance,W,AS2_L2_ROOMS,0,T,4,3,LineString,"[[11551778.593335858, 144178.8886308634], [11551774.67221086, 144180.2459433634]]"
7,AS2-Level2-Stair1-Entrance,AS2-Level2-Stair1,N,AS2_L2_ROOMS,0,T,12,9,LineString,"[[11551762.238640903, 144184.66910003676], [11551773.566252524, 144187.58548503005]]"
7,AS2-Level2-Stair1,AS2-Level2-Stair1-Entrance,S,AS2_L2_ROOMS,0,T,12,9,LineString,"[[11551773.566252524, 144187.58548503005], [11551762.238640903, 144184.66910003676]]"
8,AS2-Level2-Stair1-Entrance,LT11-Entrance,N,AS2_L2_ROOMS,5,T,17,13,LineString,"[[11551762.238640903, 144184.66910003676], [11551768.286259985, 144201.04806838834]]"
8,LT11-Entrance,AS2-Level2-Stair1-Entrance,S,AS2_L2_ROOMS,5,T,17,13,LineString,"[[11551768.286259985, 144201.04806838834], [11551762.238640903, 144184.66910003676]]"
9,LT11-Entrance,LT11,S,AS2_L2_ROOMS,0,T,13,10,LineString,"[[11551768.286259985, 144201.04806838834], [11551772.519593345, 144213.04251290427]]"
9,LT11,LT11-Entrance,N,AS2_L2_ROOMS,0,T,13,10,LineString,"[[11551772.519593345, 144213.04251290427], [11551768.286259985, 144201.04806838834]]"
10,LT11-Entrance,AS2-Level2-Bridge-Entrance,W,AS2_L2_ROOMS,3,T,85,63,LineString,"[[11551768.286259985, 144201.04806838834], [11551687.550545223, 144228.61513204468]]"
10,AS2-Level2-Bridge-Entrance,LT11-Entrance,E,AS2_L2_ROOMS,3,T,85,63,LineString,"[[11551687.550545223, 144228.61513204468], [11551768.286259985, 144201.04806838834]]"
1,AS2-0313-Entrance,AS2-0312-Entrance,E,AS2_L3_ROOMS,0,T,4,3,LineString,"[[11551736.786854094, 144193.8127845095], [11551740.657708261, 144192.35493034282]]"
1,AS2-0312-Entrance,AS2-0313-Entrance,W,AS2_L3_ROOMS,0,T,4,3,LineString,"[[11551740.657708261, 144192.35493034282], [11551736.786854094, 144193.8127845095]]"
2,AS2-0313-Entrance,AS2-0313,N,AS2_L3_ROOMS,0,T,3,2,LineString,"[[11551736.786854094, 144193.8127845095], [11551737.94308326, 144196.47713867621]]"
2,AS2-0313,AS2-0313-Entrance,S,AS2_L3_ROOMS,0,T,3,2,LineString,"[[11551737.94308326, 144196.47713867621], [11551736.786854094, 144193.8127845095]]"
3,AS2-0312-Entrance,AS2-0312,N,AS2_L3_ROOMS,0,T,3,2,LineString,"[[11551740.657708261, 144192.35493034282], [11551741.612854093, 144194.76793034284]]"
